Certificate,Ukrainian,Math,History,Geography,English,OtherForeignLang,Physics,Biology,Chemistry,UniverSpec
11.96,185,199,0,179,185,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.9,195,200,0,189,180,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
11.1,180,200,0,175,199,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.6,197,199,0,168,189,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.53,182,200,0,170,169,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
11.93,170,199,0,199,180,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10,179,198,0,184,163,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
11.46,169,200,0,199,164,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
11.69,161,198,0,182,170,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.1,182,200,0,183,164,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.3,161,198,0,164,167,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
11.84,178,200,0,186,173,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.03,165,200,0,184,197,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.57,187,200,0,174,165,0,184,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.96,166,198,0,172,192,0,160,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.4,199,198,0,199,186,0,183,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.33,191,199,0,174,169,0,188,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.54,172,199,0,159,189,0,167,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.62,179,198,0,187,163,0,183,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.73,158,200,0,187,184,0,173,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.03,194,200,0,174,187,0,178,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.83,166,199,0,158,186,0,180,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.73,192,200,0,169,199,0,191,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.51,182,200,0,158,170,0,166,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.88,168,199,0,158,176,0,194,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.74,195,200,0,169,181,0,169,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.13,199,198,0,178,193,0,188,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.34,163,199,0,188,176,0,158,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.36,195,198,0,192,187,0,196,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.08,165,198,0,193,171,0,167,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.04,188,198,0,181,177,0,174,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.25,168,200,0,168,176,0,198,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.39,200,199,0,185,169,0,168,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.86,185,198,0,188,182,0,164,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.63,200,199,0,159,174,0,163,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.68,198,199,0,181,173,0,183,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.53,167,200,0,167,184,0,190,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.05,164,200,0,165,173,0,172,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.52,184,198,0,177,195,0,186,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.54,181,199,0,170,195,0,179,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.61,184,199,0,189,159,0,181,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.69,180,200,0,194,170,0,173,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.01,171,198,0,171,181,0,164,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.43,194,198,0,177,178,0,172,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.59,183,200,0,167,170,0,195,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.92,191,199,0,163,189,0,160,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.38,160,198,0,189,185,0,190,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.74,177,200,0,179,189,0,190,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.68,194,198,0,179,175,0,188,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.66,164,198,0,200,165,0,170,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.49,164,198,0,170,170,0,162,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.46,167,198,0,184,197,0,176,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.65,186,198,0,166,169,0,190,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.19,162,199,0,184,166,0,171,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.42,179,199,0,184,189,0,187,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.88,187,198,0,186,184,0,167,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.28,167,198,0,159,181,0,181,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.65,159,199,0,177,158,0,183,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.37,168,200,0,176,160,0,183,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.29,186,199,0,177,165,0,163,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.96,178,198,0,169,197,0,158,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
11.03,181,199,0,175,179,0,193,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.93,159,198,0,158,159,0,162,0,0,Київський національний університет імені Тараса Шевченка 171 Електроніка
10.55,175,0,200,179,200,176,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.94,198,0,200,183,200,184,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.79,200,0,200,199,200,188,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.58,179,0,200,165,200,181,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.81,185,0,200,182,200,168,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.54,179,0,200,192,200,191,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.01,163,0,200,193,200,175,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.71,195,0,200,185,200,178,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.13,198,0,200,173,200,176,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.89,197,0,200,186,200,192,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.97,191,0,200,191,200,166,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.41,184,0,200,186,200,164,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.38,186,0,200,162,200,188,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10,190,0,200,164,200,181,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.65,171,0,200,181,200,182,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.64,170,0,200,200,200,163,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.29,193,0,200,173,200,185,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.74,181,0,200,163,200,194,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.4,179,0,200,173,200,178,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.7,169,0,200,160,200,176,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
12,172,0,200,197,200,172,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.1,191,0,200,176,200,194,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.29,173,0,200,184,200,173,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.91,179,0,200,171,200,169,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.94,180,0,200,199,200,172,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.99,189,0,200,188,200,169,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.24,185,0,200,192,200,192,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.1,180,0,200,187,200,200,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.74,189,0,200,172,200,174,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.54,163,0,200,170,200,197,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.7,178,0,200,182,200,174,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.97,197,0,200,177,200,195,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.68,172,0,200,199,200,197,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.28,184,0,200,179,200,171,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.72,188,0,200,185,200,199,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.17,181,0,200,192,200,183,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.27,187,0,200,167,200,193,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.09,187,0,200,194,200,183,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.44,188,0,200,199,200,167,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.07,165,0,200,181,200,168,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.46,171,0,200,188,200,176,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.82,170,0,200,174,200,177,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.5,194,0,200,180,200,199,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.3,166,0,200,184,200,184,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.11,194,0,200,175,200,198,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.7,170,0,200,199,200,196,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.45,193,0,200,173,200,175,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.33,171,0,200,197,200,196,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.47,192,0,200,191,200,176,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.24,168,0,200,200,200,178,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.29,189,0,200,176,200,193,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.46,174,0,200,171,200,199,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.95,185,0,200,186,200,176,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.45,193,0,200,197,200,179,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.49,164,0,200,170,200,188,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.5,179,0,200,189,200,164,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.17,176,0,200,164,200,174,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.7,179,0,200,160,200,167,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
11.14,172,0,200,183,200,165,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.51,169,0,200,190,200,163,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.93,197,0,200,179,200,184,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.37,171,0,200,186,200,186,0,0,0,Київський національний університет імені Тараса Шевченка 061 Журналістика
10.73,189,200,0,0,200,167,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10,184,200,0,0,200,184,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.65,174,200,0,0,200,196,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.4,178,200,0,0,200,166,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.38,194,200,0,0,200,199,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.67,171,200,0,0,200,172,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.31,190,200,0,0,200,195,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.69,197,200,0,0,200,173,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.27,178,200,0,0,200,165,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.1,186,200,0,0,200,162,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.46,178,200,0,0,200,195,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.39,160,200,0,0,200,168,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.73,181,200,0,0,200,194,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.36,178,200,0,0,200,166,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.95,183,200,0,0,200,184,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.7,170,200,0,0,200,168,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.2,198,200,0,0,200,161,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.93,184,200,0,0,200,184,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.89,176,200,0,0,200,194,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.51,169,200,0,0,200,176,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.24,188,200,0,0,200,177,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.67,174,200,0,0,200,181,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.35,196,200,0,0,200,193,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.64,199,200,0,0,200,178,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.24,179,200,0,0,200,182,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.72,188,200,0,0,200,183,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.94,182,200,0,0,200,196,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.25,162,200,0,0,200,197,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.78,169,200,0,0,200,195,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.65,167,200,0,0,200,167,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
10.21,198,200,0,0,200,186,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.95,165,200,0,0,200,181,0,0,0,Київський національний університет імені Тараса Шевченка 121 Інженерія програмного забезпечення
11.85,200,168,200,0,173,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.54,200,180,200,0,167,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
10.2,200,164,200,0,181,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.36,200,192,200,0,178,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
10.95,200,187,200,0,192,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.64,200,184,200,0,194,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.11,200,185,200,0,161,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.82,200,166,200,0,161,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
10.62,200,185,200,0,169,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.67,200,174,200,0,182,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.25,200,197,200,0,200,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
10.75,200,196,200,0,190,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
10.51,200,196,200,0,196,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
10.42,200,167,200,0,184,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.05,200,200,200,0,160,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.15,200,169,200,0,175,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
10.24,200,177,200,0,160,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
11.24,200,179,200,0,185,0,0,0,0,Київський національний університет імені Тараса Шевченка 029 Інформаційна. бібліотечна та архівна справа
